name,srid,west,south,east,north,st_askml
afri,97260,-524288,-524288,524288,786432,<Polygon><outerBoundaryIs><LinearRing><coordinates>-126.054150725018019,39.107188118574399 -127.408878960529023,50.869932263852824 -112.59112103947102,50.869932263852824 -113.945849274981995,39.107188118574399 -126.054150725018019,39.107188118574399</coordinates></LinearRing></outerBoundaryIs></Polygon>
smaller,97260,-409600,-532480,491520,655360,<Polygon><outerBoundaryIs><LinearRing><coordinates>-126.054150725018019,39.107188118574399 -127.408878960529023,50.869932263852824 -112.59112103947102,50.869932263852824 -113.945849274981995,39.107188118574399 -126.054150725018019,39.107188118574399</coordinates></LinearRing></outerBoundaryIs></Polygon>
