"qid","scenario","type","be005","be012","be017","be022","be027","be032","be037","be042","be047","be052","be057","be062","be067","be072","be077","be082","be087","be092","be097","be102","be107","be112","be117","be122","be127","be132","be137","be142","be147","be152","be157","be162","be167","be172","be177","be182","be187","be192","be197","be200"
"S51191","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3,596.19,596.19,740.9,1867.5,1867.5,1867.5,1907.6,2404.23,3716.25,4032.29,4126.57,5112.17,6904.37,8477.69,9927.69,10273.58,11015.18,12984.96,30425.64
"S51193","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.73,801.79,801.79,801.79,801.79,801.79,889.03,1350.77,1350.77,1350.77,1350.77,1350.77,1350.77,1350.77,2429.67,4043.14,4043.14,4043.14,4043.14,4043.14,5283.12,6286.91,6286.91,11323
"S51195","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.99,659.8,659.8,659.8,659.8,659.8,712.79,1028.51,1071.27,1741.01,1931.47,2767.04,3970.98,6583.28,7619.39,8340.38,8340.38,8340.38,8760.93,8775.57,9255.64,22789.8
"S51197","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.17,281.67,281.67,281.67,281.67,1106.81,3234.32,3234.32,3234.32,3234.32,3234.32,3234.32,3234.32,3234.32,3234.32,3344.76,3855.74,3855.74,5792.11
"S51199","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.29,491.17,491.17,491.17,491.17,491.17,491.17,663.11,849.09,849.09,849.09,849.09,849.09,849.09,849.09,849.09,849.09,849.09,849.09,849.09,849.09
"S51550","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.69,261.41,261.41,261.41,283.89,389.22,389.22,389.22,389.22,389.22,389.22,389.22,499.12,2955.75,6428.07,6428.07,6428.07,6428.07,6428.07,6428.07,11084.99
"S51650","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.75,924.75,924.75,924.75,924.75,924.75,924.75,924.75,924.75,924.75,924.75,924.75
"S51800","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.36,2889.99,5138.37,5271.35,5271.35,5271.35,5413.68,6091.86,8362.04,9547.1,11689.57,12980.53,15181.45,18336.01,20570.47,22599.85,23964.96,24990.59,25278.38,25278.38,27121.15,38467.88
"S51810","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.94,649.14,649.14,649.14,649.14,649.14,1948.87,3374.95,3729.32,3777.42,3777.42,3777.42,3777.42,6190.13,8246.75,8246.75,8246.75,8246.75,8246.75,8246.75,8246.75,8246.75,11505.49
"S53007","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,523.02,2055.22,3290.16,3664.9,3664.9,3664.9,3664.9,3664.9,3664.9,3664.9,3664.9,4931.26,11030.04,17555.94,21185.02,24080.5,24370.11,24370.11,24370.11,24370.11,26934.43
