CompanyID,City,State
3024,Chattanooga,TN
5518,Chattanooga,TN
808,Chelsea,MA
808,Chelsea,MA
808,Chelsea,MA
822,Chelsea,MA
83,Chesapeake,VA
412,Chesapeake,VA
2229,Chesapeake,VA
2229,Chesapeake,VA
3144,Chesapeake,VA
3218,Chesapeake,VA
5489,Chesapeake,VA
5489,Chesapeake,VA
5766,Chesapeake,VA
5774,Chesapeake,VA
5774,Chesapeake,VA
309,Chesapeake,VA
309,Chesapeake,VA
137,Cheyboygan,MI
137,Cheyboygan,MI
5582,Cheyenne,WY
46,Chicago,IL
46,Chicago,IL
47,Chicago,IL
1732,Chicago,IL
7885,Chickasaw,AL
1505,Chico,CA
1760,Chillicothe,IL
3197,Chillicothe,IL
3197,Chillicothe,IL
289,Chippewa Falls,WI
904,Chippewa Falls,WI
212,Cincinnati,OH
1657,Cincinnati,OH
1657,Cincinnati,OH
2058,Clear Lake,IA
2154,Clermont,IN
1577,Cleveland,OH
1577,Cleveland,OH
1577,Cleveland,OH
1658,Cleveland,OH
1658,Cleveland,OH
1800,Cleveland,OH
1800,Cleveland,OH
1800,Cleveland,OH
1800,Cleveland,OH
3399,Cleveland,OH
5578,Coffeyville,KS
359,Collins,MS
697,Collins,MS
697,Collins,MS
1573,Collins,MS
3171,Collins,MS
3172,Collins,MS
591,Colorado Springs,CO
2077,Columbia,MO
214,Columbus,OH
939,Columbus,NE
1020,Columbus,GA
1052,Columbus,OH
1659,Columbus,OH
1659,Columbus,OH
1757,Columbus,GA
1801,Columbus,OH
1801,Columbus,OH
1801,Columbus,OH
1801,Columbus,OH
5320,Columbus,GA
5320,Columbus,GA
5320,Columbus,GA
7755,Columbus,OH
7755,Columbus,OH
7755,Columbus,OH
7773,Columbus,OH
7773,Columbus,OH
501,Commerce City,CO
592,Commerce City,CO
592,Commerce City,CO
1407,Commerce City,CO
3444,Commerce City,CO
3444,Commerce City,CO
3444,Commerce City,CO
5922,Concord,CA
1687,Convent,LA
2057,Coralville,IA
263,Coraopolis,PA
263,Coraopolis,PA
1667,Coraopolis,PA
1667,Coraopolis,PA
1700,Coraopolis,PA
5427,Cordova,AK
404,Corpus Christi,TX
405,Corpus Christi,TX
599,Corpus Christi,TX
967,Corpus Christi,TX
3284,Corpus Christi,TX
3442,Corpus Christi,TX
120,Council Bluffs,IA
120,Council Bluffs,IA
1240,Council Bluffs,IA
204,Covington,KY
892,Covington,KY
5417,Craig,AK
3320,Crockett,CA
5523,Cuyahoga,OH
1204,Dallas,TX
1704,Dallas,TX
1578,Dayton,OH
1578,Dayton,OH
1660,Dayton,OH
1660,Dayton,OH
1802,Dayton,OH
1802,Dayton,OH
1802,Dayton,OH
1802,Dayton,OH
2037,Dearborn,MI
1334,Deer Park,TX
2495,Deer Park,TX
2495,Deer Park,TX
1683,Delaware City,DE
835,Delmont,PA
1808,Delmont,PA
1808,Delmont,PA
1808,Delmont,PA
1808,Delmont,PA
1808,Delmont,PA
1808,Delmont,PA
1808,Delmont,PA
1808,Delmont,PA
936,Delphos,KS
121,Des Moines,IA
121,Des Moines,IA
127,Des Plaines,IL
127,Des Plaines,IL
1042,Detroit,MI
1568,Detroit,MI
1568,Detroit,MI
1789,Detroit,MI
1789,Detroit,MI
1789,Detroit,MI
7847,Dillingham,AK
7780,Dillingham,AK
2083,Doniphan,NE
117,Doraville,GA
117,Doraville,GA
118,Doraville,GA
118,Doraville,GA
377,Doraville,GA
504,Doraville,GA
1021,Doraville,GA
1685,Doraville,GA
2312,Doraville,GA
3027,Doraville,GA
3054,Doraville,GA
3173,Doraville,GA
243,Dravosburg,PA
1770,Drumright,OK
2055,Dubuque,IA
5762,Duluth,MN
1773,Dumfries,VA
1773,Dumfries,VA
5347,Duncan,OK
5347,Duncan,OK
5347,Duncan,OK
2056,Duncombe,IA
7782,Dutch Harbor,AK
5608,East Boston,MA
379,East Chicago,IN
1417,East Chicago,IN
17,East Hartford,CT
899,East Liverpool,OH
1201,East Providence,RI
2117,East Providence,RI
2117,East Providence,RI
3467,East Setauket,NY
64,Edgewater,NJ
5288,Edinburg,TX
1812,Edwardsville,PA
1812,Edwardsville,PA
1812,Edwardsville,PA
1812,Edwardsville,PA
1560,Effingham,IL
1560,Effingham,IL
672,El Dorado,AR
672,El Dorado,AR
672,El Dorado,AR
5622,El Dorado,KS
5622,El Dorado,KS
600,El Paso,TX
1244,El Paso,TX
1584,El Paso,TX
5871,El Paso,TX
5871,El Paso,TX
7794,El Paso,TX
3357,Emmaus,PA
3357,Emmaus,PA
2086,Enid,OK
1517,Eugene,OR
968,Euless,TX
1429,Euless,TX
321,Eureka,CA
278,Evangeline,LA
278,Evangeline,LA
5580,Evanston,WY
202,Evansville,IN
890,Evansville,IN
1609,Evansville,WY
695,Everett,MA
1810,Exton,PA
1810,Exton,PA
1810,Exton,PA
1810,Exton,PA
2075,Eyota,MN
164,Fairfax,VA
164,Fairfax,VA
413,Fairfax,VA
1712,Fairfax,VA
5401,Fairfax,VA
1692,Fayetteville,NC
384,Ferrysburg,MI
1569,Ferrysburg,MI
1569,Ferrysburg,MI
7907,Flagstaff,AZ
1174,Flint,MI
1174,Flint,MI
5641,Flushing,NY
128,Forest View,IL
128,Forest View,IL
1371,Forest View,IL
1371,Forest View,IL
1414,Forsyth,IL
53,Fort Lauderdale,FL
374,Fort Lauderdale,FL
450,Fort Lauderdale,FL
1017,Fort Lauderdale,FL
1164,Fort Lauderdale,FL
1552,Fort Lauderdale,FL
1684,Fort Lauderdale,FL
3264,Fort Lauderdale,FL
2374,Fort Lauderdale,FL
2374,Fort Lauderdale,FL
3039,Fort Lauderdale,FL
3221,Fort Lauderdale,FL
2124,Fort Smith,AR
1705,Fort Worth,TX
3028,Fort Worth,TX
3382,Fourchon,LA
3382,Fourchon,LA
2064,Franklin Park,IL
7901,Fredericksburg,VA
7901,Fredericksburg,VA
7901,Fredericksburg,VA
1225,Freeport,FL
1507,Fresno,CA
5447,Ft. Yukon,AK
5445,Galena,AK
365,Galena Park,TX
769,Galena Park,TX
1335,Galena Park,TX
3285,Galena Park,TX
3385,Galveston,TX
5700,Galveston,TX
1374,Garyville,LA
1374,Garyville,LA
1374,Garyville,LA
3140,Garyville,LA
940,Geneva,NE
285,Glendive,MT
285,Glendive,MT
394,Glenmont,NY
394,Glenmont,NY
394,Glenmont,NY
7750,Glenmont,NY
1186,Glenwood Landing,NY
1661,Grafton,OH
1661,Grafton,OH
5617,Grafton,VA
2082,Grand Forks,ND
502,Grand Junction,CO
5289,Grand Junction,CO
132,Granger,IN
132,Granger,IN
535,Grapevine,TX
604,Grapevine,TX
3255,Great Bend,KS
517,Great Falls,MT
1242,Great Falls,MT
416,Green Bay,WI
1064,Green Bay,WI
1214,Green Bay,WI
1214,Green Bay,WI
2003,Green Bay,WI
2003,Green Bay,WI
2003,Green Bay,WI
2003,Green Bay,WI
2004,Green Bay,WI
5769,Green Island,NY
147,Greensboro,NC
147,Greensboro,NC
521,Greensboro,NC
703,Greensboro,NC
1378,Greensboro,NC
1693,Greensboro,NC
2196,Greensboro,NC
2196,Greensboro,NC
3176,Greensboro,NC
3281,Greensboro,NC
1668,Greensburg,PA
1668,Greensburg,PA
3177,Greenville,MS
3178,Greenville,MS
5616,Greenville,MS
2230,Gretna,LA
2230,Gretna,LA
2230,Gretna,LA
1645,Griffin,GA
49,Groton,CT
7779,Haines,AK
1030,Hammond,IN
1167,Hammond,IN
1562,Hammond,IN
1562,Hammond,IN
3307,Hammond,IN
3307,Hammond,IN
3307,Hammond,IN
7752,Hammond,IN
5541,Hampden,ME
5541,Hampden,ME
5541,Hampden,ME
601,Harlingen,TX
1561,Harristown,IL
1561,Harristown,IL
130,Hartford,IL
130,Hartford,IL
291,Hartford,IL
425,Hartford,IL
425,Hartford,IL
506,Hartford,IL
