Longitude,Latitude,Company,Address,City,State,zipcode,Company Website,Feedstock,Status,Capacity [Mg/y],State Date
-93.49425500000,39.35854100000,Show Me Ethanol,26530 E. Highway 24,Carrollton,MO,64633,http://www.showmeethanolllc.com/,Corn,operating,55,May 2008
-96.23434600000,43.08541700000,Siouxland Energy & Livestock Coop*,3890 Garfield Avenue,Sioux Center,IA,51250,http://www.siouxlandenergy.com/,Corn,operating,55,2000
-96.59177700000,42.45196600000,Siouxland Ethanol - LLC,1501 Knox Blvd.,Jackson,NE,68743,http://www.siouxlandethanol.com/,Corn,operating,50,May 2007
-84.20934000000,31.23850400000,Southwest Georgia Ethanol - LLC,,Camilla,GA,,http://www.firstunitedethanol.com/,Corn,operating,100,October 2008
-95.87906000000,41.23951300000,Southwest Iowa Renewable Energy - LLC *,,Council Bluffs,IA,,,Corn,operating,110,February 2009
-100.16569519100,40.28194808980,Standard Ethanol Cambridge LLC,,Cambridge,NE,,,corn,Not Producing,44,June 2008
-103.19345100000,40.63562100000,Sterling Ethanol - LLC,450 Angus Avenue,Sterling,CO,80751,http://www.sterlingethanol.com/,Corn,operating,42,November 2005
-102.27823638900,37.38612365760,Sun Energy LLC,,Walsh,CO,,,corn,operating,3,2006
-84.31668100000,35.73595300000,Tate & Lyle,198 Blair Bend Drive,Loudon,TN,37774,http://www.tateandlyle.com/TateAndLyle/default.htm,Corn,operating,60,June 2007
-94.17775100000,42.50832500000,Tate & Lyle,,Fort Dodge,IA,50501,http://www.tateandlyle.com/TateAndLyle/default.htm,Corn,construction,105,postone as of Nov 2009
-97.21136400000,46.90050400000,Tharaldson Ethanol,,Casselton,ND,,,Corn,operating,120,December 2008
-84.79495900000,42.26144400000,The Andersons Albion Ethanol LLC,26250 B Drive North,Albion,MI,49224,http://www.andersonsethanol.com/,Corn,operating,55,August 2006
-86.43455600000,40.72126900000,The Andersons Clymers Ethanol - LLC,3389 W 300 S,Clymers,IN,46947,http://www.andersonsethanol.com/,Corn,operating,110,May 2007
-84.60081900000,40.07768200000,The Andersons Marathon Ethanol - LLC,5728 Sebring Warner Road N,Greenville,OH,45331,http://www.andersonsethanol.com/,Corn,operating,110,March 2008
-101.02340500000,40.17600400000,Trenton Agri Products - LLC,36638 US Highway 34,Trenton,NE,69044,http://www.trentonagriproducts.com/,Corn,operating,40,March 2004
-88.93311600000,42.77303700000,United Ethanol,1250 Chicago Street,Milton,WI,53563,http://www.unitedethanol.com/,Corn,operating,55,January 2007
-89.07047600000,43.59055900000,United WI Grain Producers - LLC*,,Friesland,WI,,,Corn,operating,55,April 2005
-88.65161700000,43.98099100000,Utica Energy - LLC,4995 State Road 91,Oshkosh,WI,54904,http://www.uticaenergy.com/,Corn,operating,52,April 2003
-94.30503700000,42.51453200000,Valero Renewable Fuels,1930 Hayes Avenue,Fort Dodge,IA,50501,http://www.valero.com/Products/Renewables/Pages/Home.aspx,Corn,operating,110,October 2005
-94.93777200000,42.77789700000,Valero Renewable Fuels,2356 510th Street,Albert City,IA,50510,http://www.valero.com/Products/Renewables/Pages/Home.aspx,Corn,operating,100,November 2006
-92.74223700000,43.09394400000,Valero Renewable Fuels,1787 Quarry Road,Charles City,IA,50616,http://www.valero.com/Products/Renewables/Pages/Home.aspx,Corn,operating,110,April 2007
-95.50558700000,43.18267600000,Valero Renewable Fuels,3260 Van Buren Avenue,Hartley,IA,51346,http://www.valero.com/Products/Renewables/Pages/Home.aspx,Corn,operating,110,August 2008
-94.58271800000,43.65981400000,Valero Renewable Fuels,1444 120th Street,Welcome,MN,56181,http://www.valero.com/Products/Renewables/Pages/Home.aspx,Corn,operating,110,first quarter 2008
-96.68603300000,44.28215800000,Valero Renewable Fuels,,Aurora,SD,57002,http://www.valero.com/Products/Renewables/Pages/Home.aspx,Corn,operating,120,December 2003
-92.81541800000,42.67189600000,Valero Renewable Fuels,2615 260th St,Albion,NE,68620,http://www.valero.com/Products/Renewables/Pages/Home.aspx,corn,operating,100,October 2007
-81.86374664340,41.13838195840,Veolia ES Technical Solutions LLC,,Medina,OH,,,beverage waste,operating,6,July 2008
-83.39547729440,39.60506057760,VeraSun/West LB Bloomingburg LLC,,Bloomingburg,OH,,,corn,Not Producing,100,March 2008
-86.90390014610,40.18809890720,VeraSun/West LB Linden LLC,,Linden,IN,,,corn,Not Producing,100,August 2007
-92.65492500000,30.22350000000,Verenium,,Jennings,LA,,,Sugar Cane bagasse,operating,1,2008
-78.37003800000,43.21102200000,Western New York Energy LLC,4141 Bates Rd.,Shelby,NY,14103,http://www.wnyenergy.com/,corn,operating,50,January 2008
-100.73409200000,39.13326500000,Western Plains Energy - LLC*,3022 County Road 18,Campus,KS,67748,http://www.westernplainsenergy.biz/indexstartup.asp,Corn,operating,45,January 2004
-91.97657200000,45.04564700000,Western Wisconsin Renewable Energy - LLC*,N10185 370th Street,Boyceville,WI,54725,http://www.westernwisconsinenergy.com/,Corn,operating,45,late fall 2006
-98.85223500000,38.90022800000,White Energy,1224 E 15th S,Russell,KS,67665,http://www.white-energy.com/,Milo/wheat starch,operating,50,Oct 2001
-102.36898600000,34.88819400000,White Energy,99 S Progressive Road,Hereford,TX,79045,http://www.white-energy.com/,Corn/Milo,operating,100,March 2008
-93.64190000000,34.25037000000,White Energy,2698 E US Highway 70,Plainview,TX,79072,http://www.white-energy.com/,Corn,operating,100,April 2008
-84.16126200000,31.37964500000,Wind Gap Farms,,Baconton,GA,,,Brewery waste,operating,0,1998
-92.08771400000,41.89181600000,Xethanol BioFuels - LLC,2154 78th Street,Blairstown,IA,52209,http://www.xethanol.com/,Corn,operating,5,October 2004
-102.68075000000,40.25447500000,Yuma Ethanol,38480 County Road H,Yuma,CO,80759,http://www.yumaethanol.com/index.cfm,Corn,operating,50,October 2007
