Longitude,Latitude,Company,Address,City,State,zipcode,Company Website,Feedstock,Status,Capacity [Mg/y],State Date
-119.29367828400,35.96849822930,Calgren Renewable Fuels LLC,,Pixley,CA,,,corn,operating,52,August 2008
-85.13832855240,42.78475570740,Carbon Green BioEnergy Woodbury LLC,,Lake Odessa,MI,,,corn,operating,50,September 2006
-84.86248800000,40.18657300000,Cardinal Ethanol,1554 N. 600 E.,Union City,IN,47390,http://www.cardinalethanol.com/Index/index.php,Corn,operating,100,October 2008
-92.62842000000,41.15369500000,Cargill - Inc.,,Eddyville,IA,,http://www.cargill.com,Corn,operating,35,sept 1992
-96.09911600000,41.53697700000,Cargill - Inc.,650 Industrial Road,Blair,NE,68008,http://www.cargill.com,Corn,operating,85,april 1994
-123.20678710900,46.10122299140,Cascade Grain Products LLC,,Clatskanie,OR,,,corn,Not Producing,113,June 2008
-90.07233100000,43.98167100000,Castle Rock Renewable Fuels - LLC,N9585 State Road 80,Necedah,WI,54646,http://www.castlerockethanol.com,Corn,operating,50,fourth quarter 2007
-90.17624000000,38.60122300000,Center Ethanol Company,231 Monsanto Avenue,Sauget,IL,62201,,Corn,operating,50,February 2008
-85.71278800000,40.56313500000,Central Indiana Ethanol - LLC,2955 West Delphi Pike,Marion,IN,46952,http://www.cie.us,Corn,operating,40,March 2007
-94.33950600000,46.02186000000,Central MN Ethanol Coop*,17936 Heron Road,Little Falls,MN,56345,http://www.centralmnethanol.com,Corn,operating,21,January 1999
-89.54400634840,44.45635986380,Central Wisconsin Alcohol,,Plover,WI,,,seed corn/whey,Not Producing,7,May 2008
-98.33914700000,40.58245000000,Chief Ethanol,4225 E. South Street,Hastings,NE,68901,http://www.chiefethanol.com,Corn,operating,62,1985
-95.61109700000,45.31496800000,Chippewa Valley Ethanol Co.*,270 20th Street NW,Benson,MN,56215,http://www.cvec.com,Corn,operating,45,1996
-120.92083000000,37.56071500000,Cilion Ethanol,,Keyes,CA,,,corn,construction,55,November 2008
-79.15045100000,34.94756600000,Clean Burn Fuels - LLC,269 Pate Road,Raeford,NC,28376,http://cleanburnfuels.com/,Corn,construction,60,Jan 2010
-87.46152900000,36.84397900000,Commonwealth Agri-Energy - LLC*,4895 Pemboke Road,Hopkinsville,KY,42241,http://www.commonwealthagrienergy.com,Corn,operating,33,March 2004
-93.63989300000,42.73157800000,Corn - LP*,1303 Hwy 3 East,Goldfield,IA,50542,http://www.cornlp.com,Corn,operating,50,December 2005
-94.15565800000,43.76047100000,Corn Plus - LLP*,711 6th Avenue SE,Winnebago,MN,56098,http://www.cornplusethanol.com,Corn,operating,44,November 1994
-84.46057300000,38.04652500000,Cornhusker Energy Lexington - LLC,1111 East Industry Drive,Lexington,NE,68850,http://www.cornhuskerenergy.com,Corn,operating,40,December 2005
-80.88729095480,35.78263855020,Custom Recovery Services LLC,,Statesville,NC,,,,construction,5,June 2010
-96.95590400000,43.97882200000,Dakota Ethanol - LLC*,46269 SD HWY 34,Wentworth,SD,57075,http://www.dakotaethanol.com,Corn,operating,50,2001
-99.17035675060,35.34893798830,Dean CEG LLC,,Burns Flat,OK,,,Corn/milo/molasses,operating,2,August 2006
-95.91394043020,45.58607101440,DENCO LLC,,Morris,MN,,,corn,Not Producing,24,September 1999
-89.10674500000,43.54098700000,Didion Ethanol,501 South Williams Street,Cambria,WI,53923,http://www.didionmilling.com/default.aspx,Corn,operating,50,April 2008
-101.70761600000,39.34156600000,E Caruso (Goodland Energy Center),,Goodland,KS,,,Corn,construction,20,N/A
-96.54139600000,40.48027900000,E Energy Adams - LLC,13238 East Aspen Road,Adams,NE,68301,http://www.eenergyadams.com/,Corn,operating,50,November 2007
-95.24031500000,38.27246500000,East Kansas Agri-Energy - LLC*,1304 S Main,Garnett,KS,66032,http://www.ekaellc.com/,Corn,operating,35,June 2005
-101.36102200000,38.47928000000,ESE Alcohol Inc.,1 1/2 East K-96,Leoti,KS,67861,,Seed corn,operating,2,January 1991
-92.08435058540,41.90943908670,Fiberight of Blairstown LLC,,Blairstown,IA,,,MSW,Not Producing,2,mid 2010
-104.85651100000,40.46051500000,Front Range Energy - LLC,31375 Great Western Drive,Windsor,CO,80550,http://www.frontrangeenergy.com/,Corn,operating,40,May 2006
-98.78409100000,45.44164300000,Glacial Lakes Energy - LLC - Mina,13435 370th Avenue,Mina,SD,57451,http://www.glaciallakesenergy.com,corn,operating,100,2002
-97.11338200000,44.87625700000,Glacial Lakes Energy - LLC*,301 20th Avenue SE,Watertown,SD,57201,http://www.glaciallakesenergy.com/,Corn,operating,100,December 2000
-94.09351400000,43.37925000000,Global Ethanol/Midwest Grain Processors,,Lakota,IA,,http://www.globalethanolservices.com/,Corn,operating,100,November 2002
-83.82608800000,41.77385100000,Global Ethanol/Midwest Grain Processors,,Riga,MI,,http://www.globalethanolservices.com/,Corn,operating,57,February 2007
-117.58098700000,33.89247000000,Golden Cheese Company of California*,1138 West Rincon Street,Corona,CA,92880,,Cheese whey,operating,5,January 1985
-93.19944100000,43.15272500000,Golden Grain Energy - LLC*,,Mason City,IA,,http://www.goldengrainenergy.com/,Corn,operating,100,December 2004
-95.36960800000,40.19401400000,Golden Triangle Energy - LLC*,,Craig,MO,,http://www.goldentriangleenergy.com/,Corn,operating,20,February 2001
-87.17279052720,38.65921783400,Grain Processing Corp.,,Washington,IN,,,Corn,operating,20,N/A - emailed
