pid,poplar_price,poplar_hectares,marginal_addition
300180,45.1,0.000706621895066884,0.000706621895066884
300180,45.2,0.000803210991771222,9.65890967043384e-05
300180,45.3,0.000862853396520796,5.96424047495734e-05
300180,45.4,0.00092249321275108,5.96398162302843e-05
300180,45.5,0.000982130806658983,5.96375939079028e-05
300180,45.6,0.00104176647847772,5.96356718187349e-05
300180,45.7,0.00110140047668944,5.96339982117224e-05
300180,45.8,0.00116103300871498,5.96325320255369e-05
300180,45.9,0.00122066424905905,5.96312403440707e-05
300180,46,0.00128029434559044,5.9630096531389e-05
300180,46.1,0.00133992342443731,5.96290788468716e-05
300180,46.2,0.00139955159384109,5.96281694037852e-05
300180,46.3,0.00145917894721866,5.96273533775653e-05
300180,46.4,0.00151880556561621,5.96266183975514e-05
300182,45.1,0.0318544323199368,0.0318544323199368
300182,45.2,0.0362086574936713,0.00435422517373447
300182,45.3,0.0388973301186736,0.00268867262500228
300182,45.4,0.0415858860535293,0.00268855593485572
300182,45.5,0.0442743418063522,0.00268845575282288
300182,45.6,0.0469627109116203,0.00268836910526816
300182,45.7,0.0496510045708802,0.00268829365925993
300182,45.8,0.0523392321346386,0.00268822756375832
300182,45.9,0.0550274014695476,0.00268816933490899
300182,46,0.0577155192415148,0.0026881177719672
300182,46.1,0.060403591136383,0.00268807189486828
300182,46.2,0.0630916220336634,0.00268803089728037
300182,46.3,0.0657796161445773,0.00268799411091392
300182,46.4,0.0684675771226782,0.0026879609781009
300183,45,0.0011721452385005,0.0011721452385005
300183,45.1,0.998332539924715,0.997160394686214
300183,45.2,1.13505279651708,0.136720256592365
300183,45.3,1.21974855401438,0.0846957574973053
300183,45.4,1.30444058513338,0.0846920311189945
300183,45.5,1.38912941704348,0.0846888319101049
300183,45.6,1.47381548195416,0.0846860649106791
300183,45.7,1.55849913757514,0.0846836556209749
300183,45.8,1.6431806825051,0.0846815449299627
300183,45.9,1.7278603679574,0.0846796854522982
300183,46,1.81253840680085,0.0846780388434489
300183,46.1,1.89721498060692,0.0846765738060713
300183,46.2,1.98189024519772,0.0846752645907967
300183,46.3,2.06656433505421,0.0846740898564926
300183,46.4,2.15123736684882,0.0846730317946127
300184,45,0.000634335715445091,0.000634335715445091
300184,45.1,0.0818723206919173,0.0812379849764722
300184,45.2,0.0932025534988809,0.0113302328069636
300184,45.3,0.100346514032171,0.00714396053329032
300184,45.4,0.121597780826834,0.0212512667946625
300184,45.5,0.131471719934543,0.00987393910770908
300184,45.6,0.141345130432404,0.009873410497861
300184,45.7,0.151218080657578,0.00987295022517418
300184,45.8,0.161090627654607,0.00987254699702853
300184,45.9,0.170962819415489,0.00987219176088222
300184,46,0.180834696606863,0.00987187719137475
300184,46.1,0.190706293916292,0.00987159730942891
300184,46.2,0.200577641112159,0.00987134719586649
300184,46.3,0.210448763885817,0.0098711227736577
300184,46.4,0.220319684526461,0.0098709206406444
300185,44.5,0.055841041041181,0.055841041041181
300185,44.6,0.0691144164361883,0.0132733753950073
300185,44.7,0.0886928792366554,0.0195784628004671
300185,44.8,0.103279168433862,0.014586289197207
300185,44.9,0.117079412827076,0.0138002443932137
300185,45,0.143762182168165,0.0266827693410893
300185,45.1,0.549154976998485,0.405392794830319
300185,45.2,0.614309047678899,0.0651540706804146
300185,45.3,0.656327995455115,0.0420189477762158
300185,45.4,0.910114714679337,0.253786719224222
300185,45.5,0.993120080732003,0.0830053660526655
300185,45.6,1.07612024558868,0.0830001648566817
300185,45.7,1.15911588164505,0.0829956360563699
300185,45.8,1.24210755018433,0.0829916685392791
300185,45.9,1.32509572341828,0.0829881732339453
300185,46,1.40808080148164,0.0829850780633588
300185,46.1,1.49106312567869,0.0829823241970498
300185,46.2,1.57404298891203,0.0829798632333396
300185,46.3,1.65702064396878,0.0829776550567516
300185,46.4,1.73999631016092,0.0829756661921428
300186,44.7,0.0582430968555418,0.0582430968555418
300186,44.8,0.0959948183202168,0.0377517214646751
300186,44.9,0.137947179509929,0.0419523611897119
300186,45,0.246660100868355,0.108712921358427
300186,45.1,0.410230282464488,0.163570181596133
300186,45.2,0.477638886803159,0.067408604338671
300186,45.3,0.531306341651952,0.0536674548487928
300186,45.4,0.61840048981623,0.0870941481642774
300186,45.5,0.678530259522776,0.0601297697065466
300186,45.6,0.738655985124487,0.0601257256017105
300186,45.7,0.79877818943161,0.0601222043071231
300186,45.8,0.858897308860743,0.0601191194291328
300186,45.9,0.919013710572397,0.0601164017116546
300186,46,0.979127705684798,0.0601139951124005
300186,46.1,1.03923955957352,0.0601118538887241
300186,46.2,1.09934949998017,0.0601099404066456
300186,46.3,1.15945772345524,0.0601082234750723
300186,46.4,1.21956440052118,0.0601066770659369
300295,45.1,1.12116366657577,1.12116366657577
300295,45.2,1.27441703527025,0.15325336869448
300295,45.3,1.36904882867951,0.0946317934092578
300295,45.4,1.46367651500717,0.0946276863276669
300295,45.5,1.55830067528063,0.0946241602734545
300295,45.6,1.65292178586576,0.0946211105851358
300295,45.7,1.74754024101751,0.0946184551517457
300295,45.8,1.84215636984072,0.0946161288232088
300295,45.9,1.9367704492138,0.0946140793730861
300295,46,2.0313827137532,0.0946122645393985
300295,46.1,2.12599336358053,0.0946106498273256
300295,46.2,2.22060257043736,0.0946092068568309
300295,46.3,2.31521048254384,0.0946079121064778
300295,46.4,2.40981722849216,0.0946067459483189
300296,44.5,0.0521400548697847,0.0521400548697847
300296,44.6,0.0645337085069465,0.0123936536371617
300296,44.7,0.0745494818229733,0.0100157733160268
300296,44.8,0.0828118116786662,0.00826232985569288
