category,water
"Alfalfa",4.15
"Barley",1.0
"Dry Beans",2.6667
"Corn",3.1
"Cotton",2.5
"Other Hay/Non Alfalfa",3.33
"Poplar",2.0
"Watermelons",2.0
"Dbl Crop Oats/Corn",4.1
"Oats",1
"Rice",7.5
"Rye",1
"Safflower",0.5
"Tomato",3.5
"Triticale",0.95
"Winter Wheat",0.9
"Dbl Crop WinWht/Corn",4.0
