chem_code,casnum
1955,"53780-36-2  "
1956,"68424-85-1  "
1960,"68989-00-4  "
1962,"37102-63-9  "
1963,"51630-58-1  "
1964,"17109-49-8  "
1965,"59720-42-2  "
1966,"6542-37-6   "
1967,"56709-13-8  "
1968,"54460-46-7  "
1969,"9004-65-3   "
1970,"63449-41-2  "
1971,"63449-41-2  "
1971,"68424-85-1  "
1972,"68155-43-1  "
1973,"42874-03-3  "
1974,"52316-55-9  "
1975,"63449-41-2  "
1977,"63449-41-2  "
1977,"68424-85-1  "
1980,"60168-88-4  "
1981,"8061-52-7   "
1983,"62732-91-6  "
1985,"53466-85-6  "
1986,"61791-14-8  "
1987,"1929-77-7   "
1988,"53404-84-5  "
1989,"53535-37-8  "
1990,"7437-35-6   "
1991,"63449-41-2  "
1992,"35367-38-5  "
1995,"38727-55-8  "
1996,"51218-45-2  "
1997,"51607-94-4  "
1998,"52207-99-5  "
1999,"1928-43-4   "
1999,"1928-44-5   "
2000,"1214-39-7   "
2001,"1397-94-0   "
2002,"7491-20-5   "
2003,"7491-21-6   "
2004,"52508-35-7  "
2005,"463-40-1    "
2006,"35400-43-2  "
2007,"106-31-0    "
2008,"52645-53-1  "
2011,"61711-25-9  "
2013,"63517-71-5  "
2016,"33089-61-1  "
2017,"19666-30-9  "
2019,"27314-13-2  "
2020,"68187-63-3  "
2021,"26635-92-6  "
2023,"69013-18-9  "
2024,"52623-95-7  "
2025,"53467-13-3  "
2026,"1249-84-9   "
2027,"8023-53-8   "
2029,"53404-60-7  "
2030,"53404-62-9  "
2031,"61789-68-2  "
2032,"67905-86-6  "
2033,"57249-19-1  "
2034,"51338-27-3  "
2038,"26172-55-4  "
2039,"2682-20-4   "
2042,"41198-08-7  "
2045,"64742-55-8  "
2048,"9002-92-0   "
2049,"56073-10-0  "
2050,"134-31-6    "
2053,"10049-04-4  "
2055,"4638-48-6   "
2057,"68527-84-4  "
2058,"8006-90-4   "
2059,"26468-79-1  "
2060,"63449-41-2  "
2064,"92456-86-5  "
2066,"127087-87-0 "
2066,"68412-54-4  "
2068,"1639-66-3   "
2070,"68424-87-3  "
2070,"73049-75-9  "
2071,"8008-20-6   "
2074,"98-86-2     "
2075,"24307-26-4  "
2076,"7446-81-3   "
2078,"12751-36-9  "
2079,"2832-19-1   "
2080,"16079-88-2  "
2081,"36734-19-7  "
2082,"1214-39-7   "
2082,"50868-58-1  "
2082,"525-79-1    "
2083,"61019-78-1  "
2084,"35554-44-0  "
2085,"12057-74-8  "
2087,"110-82-7    "
2089,"53404-81-2  "
2090,"1303-86-2   "
2091,"2717-15-9   "
2091,"39703-33-8  "
2091,"59680-30-7  "
2092,"72-55-9     "
2093,"26002-80-2  "
2094,"122-70-3    "
2095,"97-53-0     "
2096,"64726-91-6  "
2097,"56-36-0     "
2099,"61790-81-6  "
2106,"64741-51-1  "
2106,"8002-05-9   "
2108,"1111-67-7   "
2109,"20228-82-6  "
2110,"79-31-2     "
2111,"9003-05-8   "
2113,"2224-44-4   "
2114,"1854-23-5   "
2115,"103-11-7    "
2116,"108-05-4    "
2117,"140-88-5    "
2118,"55927-87-2  "
2118,"79-10-7     "
2119,"10453-86-8  "
2120,"31717-87-0  "
2121,"68439-47-4  "
2122,"31218-83-4  "
2123,"69227-21-0  "
2125,"7440-22-4   "
2126,"53939-28-9  "
2127,"27668-52-6  "
2128,"13463-41-7  "
2129,"50471-44-8  "
2130,"28382-15-2  "
2131,"57213-69-1  "
2132,"57837-19-1  "
2133,"43121-43-3  "
2135,"28772-56-7  "
2138,"108-80-5    "
2138,"134016-52-7 "
2138,"504-19-8    "
2139,"106-22-9    "
2142,"16974-11-1  "
2143,"64902-72-3  "
2144,"15922-78-8  "
2145,"21645-51-2  "
2147,"24579-73-5  "
2148,"7758-19-2   "
2149,"74222-97-2  "
2150,"20018-09-1  "
2151,"80-62-6     "
2153,"2312-73-4   "
2154,"2650-18-2   "
2155,"1934-21-0   "
2156,"51200-87-4  "
2157,"75673-43-7  "
2159,"55290-64-7  "
2162,"51707-55-2  "
2163,"3861-41-4   "
2164,"139-02-6    "
2165,"29804-22-6  "
2166,"55283-68-6  "
2167,"7778-50-9   "
2168,"70124-77-5  "
2169,"70017-56-0  "
2170,"64700-56-7  "
2171,"52315-07-8  "
2172,"53404-04-9  "
2173,"96-24-2     "
2176,"10605-21-7  "
2177,"74051-80-2  "
2178,"25155-18-4  "
2179,"2155-70-6   "
2182,"55285-14-8  "
2184,"133-90-4    "
2185,"14275-57-1  "
2186,"69806-50-4  "
2187,"80-56-8     "
2188,"87-44-5     "
2189,"123-35-3    "
2190,"26532-22-9  "
2194,"25311-71-1  "
2195,"69409-94-5  "
2196,"9003-01-4   "
2197,"61702-78-1  "
2199,"72269-48-8  "
2200,"65954-19-0  "
2201,"34681-23-7  "
2202,"59669-26-0  "
2203,"67485-29-4  "
2204,"1314-23-4   "
2205,"136-44-7    "
2206,"8014-29-7   "
2207,"124-38-9    "
2208,"443-48-1    "
2209,"53939-27-8  "
2210,"39148-24-8  "
2211,"127-69-5    "
2212,"379-52-2    "
2213,"8000-78-0   "
2214,"56802-99-4  "
2215,"144-80-9    "
2216,"52292-17-8  "
2217,"29232-93-7  "
2218,"62476-59-9  "
2219,"20679-58-7  "
2220,"104-61-0    "
2221,"104-67-6    "
2222,"74223-64-6  "
2223,"68359-37-5  "
2223,"85782-82-7  "
2224,"16423-68-0  "
2226,"76578-14-8  "
2227,"2665-13-6   "
2228,"68391-03-7  "
2229,"3734-33-6   "
2230,"68514-95-4  "
2231,"1317-38-0   "
2232,"67-97-0     "
2234,"39515-41-8  "
2235,"22221-10-9  "
2236,"29091-21-2  "
2237,"79277-27-3  "
2238,"420-04-2    "
2239,"78-70-6     "
2240,"69969-22-8  "
2240,"81405-85-8  "
2241,"32809-16-8  "
2242,"84731-66-8  "
2244,"41096-46-2  "
2245,"88671-89-0  "
2246,"8002-09-3   "
2247,"53404-32-3  "
2248,"8001-26-1   "
2249,"74115-24-5  "
2250,"8001-69-2   "
2251,"28079-04-1  "
2252,"38363-29-0  "
2253,"40642-40-8  "
2254,"71751-41-2  "
2255,"59277-89-31 "
2256,"81334-34-1  "
2257,"81510-83-0  "
2258,"32289-58-0  "
2258,"82500-57-0  "
2259,"76738-62-0  "
2260,"68694-11-1  "
2261,"82010-75-1  "
2262,"27554-26-3  "
2263,"104466-83-8 "
2263,"83055-99-6  "
2265,"1646-88-4   "
2266,"112-62-9    "
2267,"7727-37-9   "
2268,"35944-21-9  "
2268,"7212-44-4   "
2269,"4602-84-0   "
2270,"21351-39-3  "
2272,"11138-66-2  "
2273,"7345-69-9   "
2274,"143447-72-7 "
2275,"70393-85-0  "
2276,"60207-90-1  "
2277,"104-55-2    "
2278,"85509-19-9  "
2279,"59756-60-4  "
2280,"81-07-2     "
2282,"42509-80-8  "
2283,"72490-01-8  "
2284,"108-78-1    "
2285,"1113-02-6   "
2286,"66215-27-8  "
2287,"22936-75-0  "
2288,"63333-35-7  "
2289,"82558-50-7  "
2290,"76902-90-4  "
2291,"79-21-0     "
2292,"80844-07-1  "
2293,"42534-61-2  "
2294,"28473-03-2  "
2295,"52-51-7     "
2296,"7726-95-6   "
2297,"91465-08-6  "
2298,"6440-58-0   "
2300,"82657-04-3  "
2301,"114370-14-8 "
2302,"40382-75-0  "
2303,"78587-05-0  "
2305,"66332-96-5  "
2306,"116-25-6    "
2306,"27636-82-4  "
2307,"55219-65-3  "
2308,"97886-45-8  "
2310,"7440-66-6   "
2311,"66441-23-4  "
2312,"83657-17-4  "
2313,"35691-65-7  "
2314,"4151-50-2   "
2315,"334-48-5    "
2316,"124-07-2    "
2317,"6381-61-9   "
2318,"128-44-9    "
2320,"56425-91-3  "
2321,"66230-04-4  "
2323,"13863-41-7  "
2324,"7783-90-6   "
2325,"98886-44-3  "
2326,"94-74-6     "
2327,"81591-81-3  "
2328,"108168-76-9 "
2328,"11141-17-6  "
2328,"992-20-1    "
2329,"66841-25-6  "
2334,"111-46-6    "
2334,"4669-26-5   "
2335,"8001-22-7   "
2336,"7775-27-1   "
2338,"101200-48-0 "
2340,"81335-77-5  "
2341,"101917-66-2 "
2342,"61791-52-4  "
2343,"112-53-8    "
2344,"112-72-1    "
2345,"95266-40-3  "
2346,"37316-55-5  "
2346,"37316-56-6  "
2346,"39378-44-4  "
2346,"39378-45-5  "
2346,"8047-37-8   "
2346,"8047-38-9   "
2346,"9000-01-5   "
2347,"9003-07-0   "
2349,"34256-82-1  "
2350,"8054-32-8   "
2350,"968-81-0    "
2351,"40164-67-8  "
2352,"3486-30-4   "
2352,"86280-78-6  "
2353,"179472-53-8 "
2353,"314-13-6    "
2354,"68309-27-3  "
2355,"106-97-8    "
2355,"74-98-6     "
2355,"75-28-5     "
2360,"68131-40-8  "
2361,"1646-87-3   "
2375,"61789-71-7  "
2376,"169767-45-7 "
2376,"27252-87-5  "
2379,"1302-76-7   "
2380,"7784-44-3   "
2381,"1336-21-6   "
2395,"64742-94-5  "
2396,"64742-94-5  "
2398,"1332-21-4   "
2407,"78-67-1     "
2408,"41083-11-8  "
2411,"7727-43-7   "
2414,"24353-61-5  "
2415,"98-09-9     "
2416,"8030-30-6   "
2417,"119-61-9    "
2418,"95-14-7     "
2419,"100-44-7    "
2420,"25013-16-5  "
2423,"71786-60-2  "
2424,"71786-60-2  "
2426,"7440-42-8   "
2427,"74-96-4     "
2428,"18181-80-1  "
2429,"1689-84-5   "
2430,"58694-46-5  "
2431,"106-99-0    "
2432,"9003-18-3   "
2433,"90338-20-8  "
2434,"142-62-1    "
2435,"2032-59-9   "
2436,"96-48-0     "
2438,"7440-43-9   "
2441,"4075-81-4   "
2442,"7778-18-9   "
2445,"133-86-4    "
2446,"9004-32-4   "
2449,"36653-82-4  "
2450,"540-10-3    "
2452,"60207-93-4  "
2452,"71245-23-3  "
2456,"68602-80-2  "
2458,"90982-32-4  "
2459,"4312-97-4   "
2460,"108-90-7    "
2461,"74-11-3     "
2462,"124-48-1    "
2463,"563-47-3    "
2464,"5825-87-6   "
2467,"95-49-8     "
2468,"5598-13-0   "
2469,"21923-23-9  "
2470,"12018-01-8  "
2472,"1420-04-8   "
2475,"68424-94-2  "
2479,"147-14-8    "
2481,"66071-96-3  "
2487,"68814-04-0  "
2495,"23526-02-5  "
2499,"120-83-2    "
2500,"83657-18-5  "
2501,"78-87-5     "
2503,"120-36-5    "
2504,"461-58-5    "
2505,"111-90-0    "
2506,"111-77-3    "
2509,"105-55-5    "
2510,"97553-90-7  "
2511,"110-87-2    "
2517,"115-10-6    "
2518,"57-14-7     "
2519,"868-85-9    "
2520,"122-14-5    "
2521,"68391-04-8  "
2522,"150-84-5    "
2523,"141-16-2    "
2526,"973-21-7    "
2527,"103-23-1    "
2529,"123-91-1    "
2532,"4147-51-7   "
2535,"502-55-6    "
2536,"29061-63-0  "
2537,"26264-06-2  "
2550,"8016-11-3   "
2551,"8013-07-8   "
2554,"110-80-5    "
2557,"107-04-0    "
2559,"96-45-7     "
2560,"104-76-7    "
2561,"29710-25-6  "
2562,"77-83-8     "
2563,"2809-21-4   "
2567,"25956-17-6  "
2567,"64553-31-7  "
2567,"66813-73-8  "
2568,"83588-43-6  "
2570,"8021-29-2   "
2582,"31566-31-1  "
2587,"34465-46-8  "
2590,"40217-92-3  "
2593,"2497-18-9   "
2595,"8028-66-8   "
2597,"1415-93-6   "
2598,"302-01-2    "
2601,"64742-54-7  "
2607,"2440-22-4   "
2610,"125997-17-3 "
2611,"2783-94-0   "
2613,"81335-37-7  "
2614,"120-72-9    "
2616,"1689-83-4   "
2617,"2082-79-3   "
2619,"6381-77-7   "
2620,"81925-04-4  "
2621,"75-28-5     "
2622,"78-83-1     "
2625,"129387-86-8 "
2625,"5131-66-8   "
2625,"9003-13-8   "
2626,"110-27-0    "
2627,"27458-93-1  "
2629,"1332-58-7   "
2638,"7439-92-1   "
2641,"9066-49-3   "
2642,"8032-32-4   "
2644,"68553-15-1  "
2654,"546-93-0    "
2655,"7791-18-6   "
2656,"1309-48-4   "
2658,"1343-88-0   "
2659,"8002-48-0   "
2669,"47000-92-0  "
2671,"2637-34-5   "
2673,"20354-26-1  "
2676,"85-91-6     "
2677,"74-87-3     "
2680,"78-93-3     "
2683,"137-20-2    "
2684,"2555-05-7   "
2686,"9004-34-6   "
2688,"8032-32-4   "
2692,"68425-94-5  "
2692,"9008-63-3   "
2692,"9084-06-4   "
2695,"845-52-3    "
2699,"26896-20-8  "
2700,"68439-46-3  "
2703,"7697-37-2   "
2703,"78989-43-2  "
2709,"108137-17-3 "
2709,"37251-69-7  "
2709,"66988-47-4  "
2709,"68855-07-2  "
2710,"9064-15-7   "
2711,"991-42-4    "
2720,"303-47-9    "
2731,"8002-75-3   "
2736,"9005-08-7   "
2739,"112-05-0    "
2766,"61228-92-0  "
2767,"130885-09-5 "
2767,"93763-70-3  "
2768,"8002-05-9   "
2769,"39515-51-0  "
2770,"3739-38-6   "
2771,"13826-35-2  "
2776,"37971-36-1  "
2777,"7778-77-0   "
2778,"1314-56-3   "
2780,"57455-37-5  "
2781,"23505-41-1  "
2792,"9012-76-4   "
2793,"69227-22-1  "
2796,"27252-83-1  "
2797,"31694-55-0  "
2798,"68153-76-4  "
2800,"9004-96-0   "
2807,"61791-26-2  "
2809,"24938-91-8  "
2810,"9004-98-2   "
2812,"117989-77-2 "
2812,"68459-87-0  "
2812,"9038-95-3   "
2813,"9005-64-5   "
2814,"9005-70-3   "
2815,"9005-00-9   "
2817,"25231-21-4  "
2818,"28301-34-0  "
2819,"9002-89-5   "
2821,"9002-86-2   "
2822,"58318-77-7  "
2824,"68602-93-7  "
2826,"1312-76-1   "
2832,"74-98-6     "
2833,"9007-48-1   "
2838,"1150-70-1   "
2839,"68988-72-7  "
2841,"94-13-3     "
2842,"8002-48-0   "
2843,"148-24-3    "
2846,"81-88-9     "
2849,"11096-33-6  "
2849,"26259-45-0  "
2849,"38473-42-6  "
2851,"60676-86-0  "
2852,"14808-60-7  "
2856,"7761-88-8   "
2858,"7440-23-5   "
2860,"25638-17-9  "
2861,"8061-51-6   "
2862,"7632-00-0   "
2863,"9003-04-7   "
2864,"13464-42-1  "
2865,"1344-09-8   "
2869,"29116-98-1  "
2870,"1338-43-8   "
2871,"1338-39-2   "
2872,"26266-58-0  "
2887,"111-01-3    "
2890,"57-11-4     "
2891,"9004-99-3   "
2892,"112-92-5    "
2893,"68937-84-8  "
2897,"108-30-5    "
2911,"110540-41-5 "
2911,"11119-41-8  "
2911,"12420-12-1  "
2911,"14807-96-6  "
2911,"37232-12-5  "
2911,"99638-63-8  "
2912,"8002-26-4   "
2915,"133-37-9    "
2918,"117-18-0    "
2925,"13071-79-9  "
2929,"33079-08-2  "
2931,"112-57-2    "
2933,"109-99-9    "
2934,"126-86-3    "
2938,"39196-18-4  "
2939,"297-97-2    "
2940,"62-56-6     "
2942,"13463-67-7  "
2950,"29395-43-1  "
2956,"15271-41-7  "
2958,"86362-20-1  "
2960,"76-13-1     "
2961,"64628-44-0  "
2962,"12407-86-2  "
2963,"593-81-7    "
2964,"78-59-1     "
2967,"1330-75-5   "
2985,"88-12-0     "
2995,"7446-19-7   "
2996,"68953-58-2  "
2997,"1071-83-6   "
2998,"132-66-1    "
2999,"25057-89-0  "
3000,"53026-57-6  "
3004,"5915-41-3   "
3006,"81335-47-9  "
3007,"51843       "
3008,"70425-89-7  "
3009,"110-97-4    "
3010,"52918-63-5  "
3011,"25322-69-4  "
3012,"75-07-0     "
3013,"142-71-2    "
3013,"302-07-8    "
3014,"108-24-7    "
3015,"75-05-8     "
3017,"61788-48-5  "
3017,"8029-87-6   "
3018,"1788-49-6   "
3019,"107-13-1    "
3019,"29754-21-0  "
3019,"63908-52-1  "
3021,"68155-05-6  "
3022,"97-59-6     "
3023,"107-18-6    "
3027,"6028-57-5   "
3028,"7446-70-0   "
3029,"142-03-0    "
3030,"1344-28-1   "
3031,"10043-67-1  "
3032,"637-12-7    "
3033,"21652-27-7  "
3034,"68084-55-9  "
3035,"150-13-0    "
3036,"631-61-8    "
3037,"7784-26-1   "
3038,"1066-33-7   "
3039,"7803-63-6   "
3040,"12124-97-9  "
3041,"1111-89-7   "
3042,"506-87-6    "
3043,"12125-02-9  "
3044,"3012-65-5   "
3046,"32612-48-9  "
3047,"10138-04-2  "
3048,"515-98-0    "
3050,"9051-51-4   "
3052,"6484-52-2   "
3052,"95255-40-6  "
3053,"1002-89-7   "
3054,"26447-10-9  "
3056,"62-53-3     "
3057,"28300-74-5  "
3058,"137-66-6    "
3059,"51-55-8     "
3060,"513-77-9    "
3061,"10361-37-2  "
3063,"131-55-5    "
3067,"93-83-4     "
3068,"3077-30-3   "
3069,"5012-62-4   "
3070,"80-05-7     "
3071,"96-29-7     "
3072,"110-64-5    "
3073,"78-51-3     "
3074,"124-16-3    "
3076,"123-95-5    "
3078,"78-92-2     "
3079,"12068-09-6  "
3080,"85-68-7     "
3083,"107-92-6    "
3084,"3068-88-0   "
3085,"72869-63-7  "
3087,"13463-98-4  "
3090,"813-94-5    "
3091,"27253-33-4  "
3092,"6107-56-8   "
3094,"61789-86-4  "
3096,"1592-23-0   "
3099,"75-73-0     "
3100,"9004-34-6   "
3101,"9004-58-4   "
3102,"79-11-8     "
3103,"75-68-3     "
3104,"75-45-6     "
3105,"1406-65-1   "
3107,"106-26-3    "
3108,"61789-57-3  "
3109,"6700-43-3   "
3110,"10124-43-3  "
3113,"95-48-7     "
3114,"106-44-5    "
3115,"76-14-2     "
3116,"98-82-8     "
3117,"527-09-3    "
3118,"3251-23-8   "
3120,"139-05-9    "
3121,"108-93-0    "
3122,"85-40-5     "
3123,"26545-53-9  "
3129,"50-99-7     "
3130,"123-42-2    "
3132,"109-46-6    "
3133,"79-43-6     "
3134,"13961-86-9  "
3134,"608-27-5    "
3135,"554-00-7    "
3136,"95-82-9     "
3137,"608-31-1    "
3138,"96-76-1     "
3139,"626-43-7    "
3142,"111-42-2    "
3144,"143-00-0    "
3145,"100-37-8    "
3146,"91-44-1     "
3147,"13106-15-5  "
3151,"111-40-0    "
3152,"110-99-6    "
3153,"61789-81-9  "
3155,"2050-99-9   "
3156,"29061-61-8  "
3157,"123-28-4    "
3158,"6144-28-1   "
3160,"124-40-3    "
3164,"107-54-0    "
3165,"540-73-8    "
3166,"78-66-0     "
3169,"67-68-5     "
3170,"534-52-1    "
3171,"101-81-5    "
3172,"7575-62-4   "
3173,"14025-15-1  "
3175,"5136-51-6   "
3176,"107-64-2    "
3177,"68783-78-8  "
3178,"68410-69-5  "
3180,"2016-56-0   "
3183,"7631-98-3   "
3184,"23214-92-8  "
3187,"68133-37-9  "
3188,"15375-84-5  "
3189,"14025-21-9  "
3190,"106-88-7    "
3191,"139-87-7    "
3192,"111-15-9    "
3192,"93-09-7     "
3195,"87-25-2     "
3196,"541-85-5    "
3197,"100-41-4    "
3198,"75-00-3     "
3199,"123-26-2    "
3200,"12068-06-3  "
3203,"97-63-2     "
3204,"120-47-8    "
3205,"7705-08-0   "
3206,"1332-37-2   "
3207,"53-96-3     "
3208,"64-18-6     "
3210,"137-16-6    "
3211,"31138-65-5  "
3214,"1323-38-2   "
3215,"627-83-8    "
3216,"111-60-4    "
3217,"7782-42-5   "
3218,"9000-65-1   "
3219,"68-41-2     "
3221,"13470-50-3  "
3222,"111-70-6    "
3223,"110-43-0    "
3225,"18924-67-9  "
3227,"110-54-3    "
3228,"149-57-5    "
3229,"111-27-3    "
3230,"110-12-3    "
3231,"118-56-9    "
3233,"123-31-9    "
3234,"2764-13-9   "
3235,"10039-54-0  "
3236,"23054-61-7  "
3238,"23054-60-6  "
3239,"90-33-5     "
3241,"110-19-0    "
3242,"25339-17-7  "
3243,"26401-27-4  "
3244,"78-78-4     "
3246,"75-31-0     "
3247,"26264-05-1  "
3247,"68584-24-7  "
3248,"12068-04-1  "
3255,"142-91-6    "
3256,"25168-06-3  "
3257,"2724-58-5   "
3258,"12645-53-3  "
3259,"6272-74-8   "
3260,"7487-79-8   "
3261,"142-78-9    "
3262,"6843-97-6   "
3264,"8002-43-5   "
3267,"1310-65-2   "
3268,"7791-03-9   "
3269,"10377-60-3  "
3270,"557-04-0    "
3271,"37199-81-8  "
3272,"108-31-6    "
3274,"1344-43-0   "
3276,"1191-80-6   "
3277,"141-79-7    "
3278,"79-41-4     "
3279,"97-88-1     "
3280,"119-47-1    "
3284,"591-78-6    "
3285,"115-19-5    "
3286,"112-39-0    "
3287,"120-94-5    "
3288,"107-68-6    "
3291,"5137-55-3   "
3292,"480-16-0    "
3294,"12068-08-5  "
3296,"61790-14-5  "
3298,"79-24-3     "
3299,"75-52-5     "
3300,"100-02-7    "
3301,"79-46-9     "
3302,"10024-97-2  "
3303,"123-17-1    "
3304,"25154-52-3  "
3306,"10213-78-2  "
3307,"141-27-5    "
3311,"37220-82-9  "
3313,"143-28-2    "
3314,"7173-62-8   "
3315,"57-10-3     "
3316,"504-60-9    "
3317,"68188-27-2  "
3318,"115-77-2    "
3319,"13845-36-8  "
3320,"140-01-2    "
3321,"13477-36-6  "
3323,"27193-86-8  "
3324,"101-84-8    "
3326,"84-66-2     "
3327,"85-44-9     "
3328,"25719-60-2  "
3333,"61781-14-8  "
3334,"53850-95-6  "
3334,"8050-33-7   "
3335,"61524-98-9  "
3336,"9005-66-7   "
3337,"61790-86-1  "
3338,"61791-07-9  "
3338,"61791-23-9  "
3339,"61791-24-0  "
3342,"9003-53-6   "
3343,"127-08-2    "
3345,"7784-24-9   "
3346,"68630-89-7  "
3347,"3811-04-9   "
3353,"4706-78-9   "
3356,"7758-09-0   "
3359,"7758-11-4   "
3361,"593-29-3    "
3362,"7778-80-5   "
3363,"53404-44-7  "
3363,"67785-93-7  "
3363,"68604-21-7  "
3364,"10117-38-1  "
3365,"1332-77-0   "
3368,"51-05-8     "
3374,"128-80-3    "
3375,"108-46-3    "
3376,"94-59-7     "
3378,"9000-59-3   "
3381,"7758-16-9   "
3382,"1302-42-7   "
3383,"7785-88-8   "
3384,"134-03-2    "
3386,"2673-22-5   "
3387,"16940-66-2  "
3388,"1984-06-1   "
3389,"9005-46-3   "
3390,"120-01-0    "
3394,"1322-98-1   "
3395,"10588-01-9  "
3395,"7789-12-0   "
3396,"3006-15-3   "
3398,"1322-93-6   "
3399,"27178-87-3  "
3400,"3246-20-6   "
3401,"53467-00-9  "
3403,"12626-49-2  "
3404,"9004-82-0   "
3405,"149-44-0    "
3406,"527-07-1    "
3407,"3282-85-7   "
3408,"7775-14-6   "
3409,"13721-43-2  "
3410,"7681-53-0   "
3411,"55184-48-0  "
3412,"4337-75-1   "
3414,"5536-61-8   "
3415,"26264-58-4  "
3417,"512-42-5    "
3421,"9014-90-8   "
3422,"37340-60-6  "
3422,"68553-97-9  "
3423,"142-31-4    "
3425,"142-15-4    "
3426,"1847-55-8   "
3428,"3737-55-1   "
3429,"7632-04-4   "
3430,"10101-50-5  "
3431,"68608-26-4  "
3434,"137-40-6    "
3435,"5323-05-5   "
3438,"61790-51-0  "
3440,"4316-73-8   "
3441,"822-16-2    "
3442,"13845-18-6  "
3445,"20526-58-3  "
3446,"1191-50-0   "
3447,"12068-03-0  "
3448,"1323-19-9   "
3451,"68154-36-9  "
3452,"1338-41-6   "
3453,"61791-34-2  "
3454,"2571-88-2   "
3455,"95-19-2     "
3456,"12068-15-4  "
3457,"25085-34-1  "
3458,"126-14-7    "
3459,"85-86-9     "
3461,"10025-67-9  "
3462,"10545-99-0  "
3463,"61790-55-4  "
3465,"4568-28-9   "
3466,"7376-31-0   "
3467,"98-55-5     "
3468,"101-25-7    "
3469,"1155-74-4   "
3470,"71012-10-7  "
3471,"97-99-4     "
3473,"3401-73-8   "
3474,"7722-88-5   "
3476,"13825-74-6  "
3477,"26471-62-5  "
3478,"93-69-6     "
3479,"102-76-1    "
3480,"126-73-8    "
3483,"57451-03-3  "
3485,"10017-56-8  "
3488,"10138-93-9  "
3489,"78-40-0     "
3490,"139-44-6    "
3493,"116-02-9    "
3496,"1638-16-0   "
3497,"13419-59-5  "
3499,"77-86-1     "
3500,"16826-91-0  "
3500,"69-93-2     "
3501,"50-81-7     "
3503,"58-95-7     "
3504,"9010-66-6   "
3506,"6798-76-1   "
3507,"3486-35-9   "
3508,"12068-16-5  "
3509,"136-53-8    "
3510,"20427-58-1  "
3511,"557-05-7    "
3512,"7585-20-8   "
3513,"39049-04-2  "
3515,"18472-87-2  "
3517,"10191-41-0  "
3519,"67784-80-9  "
3519,"68919-53-9  "
3520,"27306-78-1  "
3521,"61788-85-0  "
3522,"9014-01-1   "
3523,"6683-19-8   "
3526,"68309-52-4  "
3528,"3164-85-0   "
3529,"108-77-0    "
3530,"860-22-0    "
3531,"953-17-3    "
3532,"673-04-1    "
3535,"61789-71-7  "
3536,"87813-31-8  "
3536,"87818-31-3  "
3537,"81777-89-1  "
3538,"77501-63-4  "
3539,"77732-09-3  "
3540,"123-54-6    "
3541,"7803-51-2   "
3542,"731-27-1    "
3543,"24017-47-8  "
3544,"2275-23-2   "
3545,"64742-51-4  "
3546,"9048-47-9   "
3548,"814-91-5    "
3549,"13426-91-0  "
3550,"16828-95-8  "
3553,"14215-52-2  "
3555,"25417-20-3  "
3556,"1343-98-2   "
3557,"63231-67-4  "
3559,"79-34-5     "
3560,"288-88-0    "
3561,"119345-04-9 "
3562,"3844-45-9   "
3564,"8049-98-7   "
3565,"8028-66-8   "
3566,"99129-21-2  "
3567,"25085-02-3  "
3568,"9002-18-0   "
3571,"9005-38-3   "
3573,"68140-00-1  "
3574,"68585-36-4  "
3576,"8013-76-1   "
3579,"9005-42-9   "
3584,"8004-87-3   "
3592,"9004-77-7   "
3594,"68610-21-9  "
3600,"9000-07-1   "
3603,"8001-75-0   "
3605,"68188-15-8  "
3606,"9006-03-5   "
3622,"61789-98-8  "
3626,"8001-30-7   "
3627,"9005-25-8   "
3631,"35343-70-5  "
3634,"6373-07-5   "
3636,"9038-29-3   "
3639,"61788-93-0  "
3640,"68308-74-7  "
3643,"61790-50-9  "
3651,"68511-39-7  "
3652,"9004-57-3   "
3653,"9010-77-9   "
3656,"68476-25-5  "
3658,"8016-13-5   "
3660,"9000-70-8   "
3666,"9000-30-0   "
3668,"5870-93-9   "
3670,"8016-70-4   "
3672,"8013-17-0   "
3675,"61789-99-9  "
3676,"15337-60-7  "
3677,"25719-52-2  "
3678,"26183-44-8  "
3680,"26545-55-0  "
3686,"8002-50-4   "
3687,"61788-60-1  "
3688,"8050-15-5   "
3689,"9016-00-6   "
3690,"12003-33-2  "
3693,"68512-89-0  "
3695,"68516-16-5  "
3697,"6419-19-8   "
3699,"9081-17-8   "
3703,"32131-17-2  "
3707,"61827-84-7  "
3710,"8001-25-0   "
3716,"7128-91-8   "
3717,"9001-73-4   "
3721,"61788-76-9  "
3721,"63449-39-8  "
3722,"8002-03-7   "
3726,"9000-69-5   "
3728,"768-32-1    "
3729,"16013-44-8  "
3731,"25014-41-9  "
3733,"9002-88-4   "
3734,"61791-00-2  "
3738,"9003-01-4   "
3740,"61791-12-6  "
3741,"9004-95-9   "
3742,"68439-49-6  "
3743,"9014-93-1   "
3744,"9005-07-6   "
3745,"9014-92-0   "
3749,"60874-89-7  "
3750,"41928-09-0  "
3752,"30846-35-6  "
3753,"51617-79-9  "
3754,"69029-39-6  "
3756,"37280-82-3  "
3759,"9005-67-8   "
3760,"53694-15-8  "
3761,"57171-56-9  "
3768,"9005-71-4   "
3769,"9017-80-5   "
3774,"2078-54-8   "
3775,"9005-37-2   "
3777,"1332-09-8   "
3779,"68990-67-0  "
3785,"9014-63-5   "
3787,"65997-06-0  "
3788,"9006-04-6   "
3798,"100092-50-0 "
3799,"9004-82-4   "
