chem_code,casnum
439,"1929-82-4   "
440,"8008-56-8   "
441,"8008-57-9   "
442,"7664-93-9   "
445,"2312-35-8   "
446,"152-16-9    "
448,"90-43-7     "
449,"2212-67-1   "
450,"87-17-2     "
452,"80-33-1     "
454,"502-39-6    "
455,"106-46-7    "
456,"30525-89-4  "
458,"2074-50-2   "
459,"56-38-2     "
460,"11075-32-4  "
460,"12002-03-8  "
460,"1299-88-3   "
464,"82-68-8     "
465,"87-86-5     "
468,"2227-17-0   "
469,"109-66-0    "
470,"404-86-4    "
472,"72-56-0     "
473,"8012-95-1   "
475,"262-20-4    "
477,"55-68-5     "
478,"298-02-2    "
479,"2310-17-0   "
480,"7786-34-7   "
481,"115-78-6    "
482,"13171-21-6  "
484,"20859-73-8  "
485,"8002-09-3   "
486,"51-03-6     "
487,"119-89-1    "
487,"8066-12-4   "
488,"3478-94-2   "
489,"83-26-1     "
490,"4726-14-1   "
491,"62-38-4     "
492,"53404-67-4  "
493,"9006-42-2   "
496,"68154-69-8  "
497,"151-50-8    "
498,"7722-64-7   "
499,"1610-18-0   "
501,"27236-65-3  "
502,"7287-19-6   "
503,"709-98-8    "
504,"139-40-2    "
505,"79-09-4     "
506,"78-88-6     "
507,"190913-75-8 "
507,"4254-16-4   "
507,"57-55-6     "
507,"63625-56-9  "
508,"75-56-9     "
509,"1698-60-8   "
510,"121-21-1    "
511,"1918-16-7   "
513,"7723-14-0   "
514,"507-60-8    "
516,"1134-23-2   "
517,"299-84-3    "
518,"83-79-4     "
519,"299-86-5    "
520,"15662-33-6  "
521,"8051-02-3   "
522,"120-32-1    "
529,"63231-67-4  "
530,"93-72-1     "
531,"122-34-9    "
532,"5902-51-2   "
533,"2312-76-7   "
534,"7784-46-5   "
535,"532-32-1    "
536,"7775-09-9   "
537,"7681-49-4   "
538,"16893-85-9  "
539,"7681-52-9   "
540,"131-52-2    "
541,"1344-08-7   "
542,"650-51-1    "
544,"110-44-1    "
547,"7631-90-5   "
548,"128-04-1    "
549,"7745-89-3   "
553,"8001-50-1   "
554,"57-24-9     "
555,"60-41-3     "
556,"149-30-4    "
557,"63-74-1     "
558,"3689-24-5   "
559,"120-62-7    "
560,"7704-34-9   "
561,"7446-09-5   "
565,"2008-41-5   "
566,"8065-48-3   "
567,"141-03-7    "
569,"56-35-9     "
573,"542-75-6    "
575,"116-06-3    "
576,"1982-47-4   "
577,"107-49-3    "
578,"95-50-1     "
580,"2593-15-9   "
581,"116-29-0    "
582,"513-92-8    "
586,"115-31-1    "
587,"148-79-8    "
589,"137-26-8    "
590,"1114-71-2   "
592,"1836-75-5   "
593,"1918-02-1   "
594,"8001-35-2   "
595,"79-01-6     "
596,"112-27-6    "
597,"1582-09-8   "
599,"76-87-9     "
600,"120-82-1    "
602,"50-31-7     "
603,"1982-49-6   "
605,"8006-64-2   "
612,"6385-58-6   "
613,"106691-70-7 "
613,"2492-26-4   "
613,"26249-01-4  "
614,"97-17-6     "
616,"137-42-8    "
618,"2699-79-8   "
621,"81-81-2     "
622,"1330-20-7   "
623,"315-18-4    "
624,"7646-85-7   "
626,"1314-84-7   "
627,"12122-67-7  "
629,"137-30-4    "
631,"1303-28-2   "
632,"299-85-4    "
633,"62-74-8     "
636,"94-75-7     "
638,"105-67-9    "
638,"1300-71-6   "
639,"93-76-5     "
640,"88-06-2     "
641,"6062-26-6   "
643,"122-88-3    "
654,"7783-28-0   "
655,"7439-89-6   "
658,"7785-87-7   "
662,"1317-25-5   "
666,"1314-13-2   "
667,"131315-46-3 "
667,"139939-71-2 "
667,"7733-02-0   "
675,"13684-63-4  "
677,"1897-45-6   "
678,"15972-60-8  "
681,"136-45-8    "
688,"143-33-9    "
689,"7775-19-1   "
690,"1966-58-1   "
691,"4849-32-5   "
694,"23950-58-5  "
695,"16919-19-0  "
696,"7631-99-4   "
699,"4476-04-4   "
700,"7789-00-6   "
702,"492-80-8    "
708,"57-50-1     "
709,"15415-64-2  "
710,"7440-38-2   "
712,"7440-44-0   "
714,"7440-50-8   "
718,"7553-56-2   "
721,"7647-14-5   "
726,"7757-79-1   "
